inspection_id,company,farm_id,farm_name,district,zone,tree_code,variety,planting_date,status,disease,severity,confidence,temperature,humidity,rainfall_mm,wind_speed,latitude,longitude,inspection_date
INSP00001,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone B,TREE-0755,Ri6,2014-07-24,Healthy,Healthy,None,94.74,29.1,92,50.6,0.6,12.653047,108.305355,2026-03-12T00:00:00
INSP00002,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone B,TREE-0460,Monthong,2018-06-17,Diseased,Anthracnose,Low,95.1,24.1,82,40.8,3.1,13.170049,108.136595,2026-06-16T00:00:00
INSP00003,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone C,TREE-0619,Ri6,2022-07-10,Healthy,Healthy,None,80.86,28.0,62,116.8,7.6,12.886428,108.629405,2026-01-25T00:00:00
INSP00004,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone A,TREE-0047,Monthong,2022-02-10,Healthy,Healthy,None,95.38,34.8,69,104.0,7.6,12.817387,108.63411,2026-05-28T00:00:00
INSP00005,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone C,TREE-0719,Dona,2022-04-21,Healthy,Healthy,None,92.9,29.9,65,64.1,4.9,12.823582,108.069948,2026-04-01T00:00:00
INSP00006,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone A,TREE-0235,Dona,2018-12-05,Healthy,Healthy,None,96.02,27.2,59,25.3,18.9,13.113457,108.114678,2026-06-25T00:00:00
INSP00007,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone C,TREE-0143,Ri6,2022-11-16,Healthy,Healthy,None,91.17,25.4,92,51.4,11.7,12.753398,108.797326,2026-06-14T00:00:00
INSP00008,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone A,TREE-0882,Ri6,2025-06-06,Healthy,Healthy,None,92.49,32.3,82,71.6,7.7,12.917122,108.26805,2026-05-07T00:00:00
INSP00009,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone C,TREE-0115,Ri6,2014-04-05,Diseased,Anthracnose,Low,89.03,34.4,71,116.6,15.2,12.855377,107.906411,2026-06-24T00:00:00
INSP00010,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone C,TREE-0781,Ri6,2025-05-21,Healthy,Healthy,None,98.97,34.0,55,71.9,9.8,12.578307,108.162981,2026-06-05T00:00:00
INSP00011,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone E,TREE-0970,Ri6,2019-05-16,Healthy,Healthy,None,94.56,32.6,89,91.9,2.6,12.832698,108.349804,2026-01-15T00:00:00
INSP00012,Công ty TNHH Green Durian Việt Nam,FARM005,Buôn Hồ Durian Farm,Đắk Lắk - Buôn Hồ,Zone B,TREE-0952,Monthong,2025-11-01,Healthy,Healthy,None,94.53,24.6,74,47.9,13.4,12.761394,108.699614,2026-06-05T00:00:00
INSP00013,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone C,TREE-0022,Monthong,2016-09-18,Healthy,Healthy,None,84.58,24.9,59,84.9,1.2,12.54718,107.831413,2026-03-05T00:00:00
INSP00014,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone D,TREE-0220,Monthong,2015-08-04,Healthy,Healthy,None,94.39,33.5,91,56.7,15.7,13.065248,107.99041,2026-05-12T00:00:00
INSP00015,Công ty CP Durian Việt Agri,FARM002,Ea Kar Premium Farm,Đắk Lắk - Ea Kar,Zone D,TREE-0885,Monthong,2023-09-02,Healthy,Healthy,None,93.4,34.8,61,7.3,14.6,13.060415,107.909269,2026-04-01T00:00:00
INSP00016,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone D,TREE-0188,Ri6,2018-04-08,Healthy,Healthy,None,84.97,34.0,83,97.0,17.1,12.568536,108.452145,2026-05-18T00:00:00
INSP00017,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone B,TREE-0417,Monthong,2014-05-01,Monitoring,Stem Blight,Low,97.21,33.7,65,45.5,19.7,12.685642,108.584071,2026-01-24T00:00:00
INSP00018,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone E,TREE-0678,Monthong,2020-05-25,Healthy,Healthy,None,83.08,25.9,58,69.5,10.8,13.023583,107.857165,2026-04-19T00:00:00
INSP00019,Công ty CP AI Agriculture Việt Nam,FARM010,Lắk Highland Farm,Đắk Lắk - Lắk,Zone A,TREE-0984,Monthong,2024-09-10,Monitoring,Stem Blight,Low,81.36,22.9,70,48.5,18.8,12.898773,108.378919,2026-05-09T00:00:00
INSP00020,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone E,TREE-0536,Ri6,2015-11-03,Healthy,Healthy,None,85.19,30.7,75,28.6,7.9,12.970183,108.099997,2026-04-18T00:00:00
INSP00021,Công ty CP DakLak Premium Durian,FARM006,Ea H'leo Smart Farm,Đắk Lắk - Ea H'leo,Zone E,TREE-0103,Ri6,2015-08-18,Healthy,Healthy,None,84.24,25.4,77,105.7,17.6,12.758669,107.957747,2026-01-03T00:00:00
INSP00022,Công ty TNHH Nông nghiệp Bền Vững Đắk Lắk,FARM009,Buôn Đôn Organic Farm,Đắk Lắk - Buôn Đôn,Zone E,TREE-0307,Dona,2020-10-14,Monitoring,Yellow Leaf,Low,98.68,23.7,62,106.8,14.8,12.608814,108.081756,2026-06-06T00:00:00
INSP00023,Công ty CP Cao Nguyên Harvest,FARM004,Krông Năng Orchard,Đắk Lắk - Krông Năng,Zone C,TREE-0518,Monthong,2021-09-09,Healthy,Healthy,None,98.02,33.0,60,76.1,16.6,12.530861,108.133557,2026-02-22T00:00:00
INSP00024,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone E,TREE-0010,Ri6,2019-11-16,Diseased,Anthracnose,High,97.99,29.1,78,69.9,3.0,12.589212,108.108258,2026-02-11T00:00:00
INSP00025,Công ty TNHH Nông nghiệp Đắk Lắk Xanh,FARM001,Krông Pắc Durian Farm,Đắk Lắk - Krông Pắc,Zone A,TREE-0363,Monthong,2022-01-10,Healthy,Healthy,None,97.59,27.3,94,89.9,18.5,12.665716,107.962502,2026-02-23T00:00:00
INSP00026,Công ty TNHH Tây Nguyên Fruits,FARM003,Cư M'gar Green Farm,Đắk Lắk - Cư M'gar,Zone C,TREE-0802,Dona,2023-04-01,Healthy,Healthy,None,95.96,33.2,70,32.0,15.7,12.575667,108.672167,2026-01-07T00:00:00
INSP00027,Công ty CP Smart Farm Tây Nguyên,FARM008,Cư Kuin AI Farm,Đắk Lắk - Cư Kuin,Zone C,TREE-0313,Dona,2018-12-28,Diseased,Fruit Rot,Low,84.44,30.6,80,39.4,17.3,13.176822,108.079125,2026-02-21T00:00:00
